player_id,full_name,firstname,lastname,age,team_id,league_id
284549,J. Whitworth,Joseph Charles,Whitworth,20,52,39
105,F. Ballo-Touré,Fodé,Ballo-Touré,27,36,39
899,Andreas Pereira,Andreas Hugo,Hoelgebaum Pereira,28,36,39
2294,Willian,Willian,Borges da Silva,36,36,39
2887,R. Jiménez,Raúl Alonso,Jiménez Rodríguez,33,"36, 39",39
2920,T. Castagne,Timothy,Castagne,29,36,39
18814,I. Diop,Issa Laye Lucas Jean,Diop,27,36,39
19004,B. De Cordova-Reid,Bobby Armani,De Cordova-Reid,31,36,39
19023,T. Ream,Timothy Michael,Ream,37,36,39
19025,T. Cairney,Thomas,Cairney,33,36,39
19145,T. Adarabioyo,Abdul-Nasir Oluwatosin,Oluwadoyinsolami Adarabioyo,27,36,39
19221,H. Wilson,Harry,Wilson,27,36,39
19480,H. Reed,Harrison James,Reed,29,36,39
19549,A. Robinson,Antonee,Robinson,27,36,39
41104,João Palhinha,João Maria,Lobo Alves Palhares Costa Palh,29,36,39
129707,T. Francois,Tyrese Jay,Francois,24,36,39
195106,Rodrigo Muniz,Rodrigo,Muniz Carvalho,23,36,39
284470,M. Dibley-Dias,Matthew Max,Dibley-Dias,21,36,39
297635,D. Tanton,Devan,Austin Tanton Pedraza,20,36,39
327738,L. De Fougerolles,Luc,Rollet De Fougerolles,19,36,39
335116,K. Šekularac,Kristian,Šekularac,21,36,39
657,K. Tete,Kenny Joelle,Tete,29,36,39
792,J. Kluivert,Justin Dean,Kluivert,25,35,39
1125,R. Christie,Ryan,Christie,29,35,39
1150,T. Adams,Tyler Shaan,Adams,25,35,39
1438,B. Leno,Bernd,Leno,32,36,39
2734,P. Billing,Philip,Anyanwu Billing,28,35,39
18883,D. Solanke,Dominic Ayodele,Solanke-Mitchell,27,35,39
19245,M. Tavernier,Marcus Joseph,Tavernier,25,35,39
19281,A. Semenyo,Antoine Serlom,Semenyo,24,35,39
19312,S. Benda,Steven-Andreas,Benda,26,36,39
